user_id,pto_pred,target
1190,5.779761,3
1191,6.879727,7
1192,2.7868183,7
1193,1.0621356,0
1194,8.506912,15
1195,5.298433,5
1196,2.3443727,1
1197,6.3218274,8
1198,7.3945384,15
1199,2.3878357,0
1200,5.9686875,12
1201,5.4429393,5
1202,7.274273,14
1203,6.863016,1
1204,5.686619,7
1205,3.5535214,13
1206,5.8409886,8
1207,5.3455358,2
1208,3.3598738,0
1209,3.2270586,0
1210,6.1372285,7
1211,6.7702656,9
1212,4.1789646,7
1213,3.7702868,5
1214,5.879054,8
1215,1.0087638,0
1216,4.95166,5
1217,7.7879467,15
1218,4.2908072,3
1219,6.50423,8
1220,4.655895,6
1221,8.589309,11
1222,2.3878357,3
1223,8.706392,10
1224,8.499141,12
1225,4.608592,4
1226,1.0968821,1
1227,4.2324004,0
1228,4.561164,9
1229,1.7948223,0
1230,4.3656516,2
1231,6.6600266,0
1232,5.3747287,0
1233,4.7006516,3
1234,0.37915015,0
1235,9.463285,12
1236,5.049455,2
1237,1.0280287,0
1238,5.7454734,9
1239,3.5010064,8
1240,0.4702112,0
1241,5.4651103,2
1242,5.6304407,9
1243,5.988352,4
1244,3.6527596,2
1245,5.9029098,3
1246,7.836338,16
1247,9.593715,11
1248,9.020507,3
1249,3.1539183,1
1250,2.3878357,0
1251,3.2736926,7
1252,2.1194875,1
1253,3.9190943,0
1254,3.7436676,4
1255,4.747101,3
1256,2.508188,0
1257,7.735303,9
1258,8.1595335,6
1259,6.0184793,7
1260,4.9868855,1
1261,7.3953867,3
1262,0.4702112,1
1263,6.501785,13
1264,4.301581,6
1265,4.7881866,2
1266,9.486452,9
1267,5.277489,3
1268,2.3878357,7
1269,1.8181919,0
1270,3.0618055,4
1271,6.969578,1
1272,0.973535,0
1273,1.1970644,1
1274,1.6324238,1
1275,5.7401795,10
1276,5.159388,8
1277,2.6297808,0
1278,4.6453843,7
1279,5.538304,4
1280,3.021338,1
1281,5.079475,1
1282,5.4219117,5
1283,4.579955,4
1284,2.3878357,1
1285,4.6589284,8
1286,2.3878357,0
1287,1.1706091,0
1288,4.790502,4
1289,2.366315,0
1290,4.4955645,3
1291,2.5414913,4
1292,4.719697,3
1293,4.3957896,1
1294,6.575664,5
1295,5.0056896,3
1296,4.7309766,8
1297,5.458731,2
1298,5.6092744,4
1299,4.025891,0
1300,1.5704701,0
1301,4.1209106,0
1302,4.0087295,8
1303,7.4921303,2
1304,0.4702112,0
1305,4.9506345,3
1306,0.4702112,0
1307,4.867667,2
1308,4.735472,16
1309,3.085235,2
1310,2.9946623,1
1311,7.8094087,11
1312,0.4702112,0
1313,4.474417,4
1314,4.49556,7
1315,7.6257405,13
1316,6.159202,7
1317,5.785012,7
1318,4.8086915,0
1319,8.761319,15
1320,5.7115245,3
1321,7.3144736,1
1322,1.0676725,0
1323,4.031672,2
1324,5.808953,0
1325,5.3527803,1
1326,6.511217,7
1327,4.7515926,11
1328,8.955612,9
1329,3.8795578,2
1330,7.190793,11
1331,7.588335,7
1332,6.079762,4
1333,0.4702112,0
1334,1.4966992,1
1335,4.7622795,2
1336,7.032952,8
1337,4.2958174,6
1338,5.1540384,0
1339,6.3470387,2
1340,4.5579276,2
1341,4.61307,0
1342,3.2696936,9
1343,4.8429174,9
1344,2.3878357,2
1345,7.419817,4
1346,7.638143,4
1347,1.1261456,0
1348,2.4834628,7
1349,3.0081556,1
1350,0.8643825,2
1351,0.38214314,1
1352,6.769921,13
1353,5.010077,7
1354,6.5883803,2
1355,7.663761,8
1356,4.6453843,5
1357,9.623433,9
1358,1.5196934,0
1359,4.198608,0
1360,4.6530013,6
1361,7.1808257,0
1362,6.7876096,6
1363,7.716711,12
1364,3.7172036,1
1365,2.3878357,1
1366,8.504762,13
1367,6.3137527,10
1368,4.13647,9
1369,4.2793727,0
1370,8.235094,6
1371,5.0219717,8
1372,6.1136894,6
1373,2.1206083,0
1374,5.734885,5
1375,3.5315309,5
1376,8.603053,6
1377,5.6979585,13
1378,3.634788,13
1379,3.084968,9
1380,4.9603534,0
1381,4.538644,0
1382,7.0198693,9
1383,2.820476,1
1384,6.822348,9
1385,1.0427238,0
1386,6.981051,7
1387,1.9332925,0
1388,6.217299,2
1389,2.9556825,1
1390,4.8077145,3
1391,4.647922,7
1392,6.4185934,2
1393,3.5789142,1
1394,2.4649704,1
1395,0.4702112,0
1396,6.235738,1
1397,5.8271217,13
1398,6.269382,12
1399,1.0052289,0
1400,1.1301512,0
1401,2.0710194,0
1402,5.225089,17
1403,6.9891124,0
